Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Logistic Regression,14,0.7161836734693877,7.769804248229909e-05,0.7207142857142858,-0.004530612244898036
K-Nearest Neighbors,14,0.6448979591836734,9.068054977092868e-05,0.6497619047619048,-0.004863945578231332
Support Vector Machine,14,0.7256734693877551,7.375926697209503e-05,0.7296190476190476,-0.00394557823129249
Decision Tree,14,0.6339183673469387,4.72003331945024e-05,0.6337142857142857,0.00020408163265306367
Logistic Regression,15,0.7164083510480735,5.412324761246778e-05,0.7207142857142858,-0.004305934666212208
K-Nearest Neighbors,15,0.645449615755244,5.144396565420289e-05,0.6497619047619048,-0.004312289006660808
Support Vector Machine,15,0.7251432846155331,3.869595763123814e-05,0.7296190476190476,-0.004475763003514488
Decision Tree,15,0.6338772684817332,5.516798290086265e-05,0.6337142857142857,0.00016298276744752815
Logistic Regression,16,0.7165308712444713,7.412216156913491e-05,0.7207142857142858,-0.004183414469814406
K-Nearest Neighbors,16,0.6457558522817053,0.00011899326515516935,0.6497619047619048,-0.0040060524801994735
Support Vector Machine,16,0.7256535570353302,8.474182759974662e-05,0.7296190476190476,-0.003965490583717424
Decision Tree,16,0.6361022943400861,7.626394274907946e-05,0.6337142857142857,0.002388008625800464
Logistic Regression,17,0.7163262900193588,5.22746150169354e-05,0.7207142857142858,-0.004387995694926983
K-Nearest Neighbors,17,0.6446120927037425,8.859141981610768e-05,0.6497619047619048,-0.005149812058162229
Support Vector Machine,17,0.7257959524757086,5.677239554120519e-05,0.7296190476190476,-0.003823095143339006
Decision Tree,17,0.6359181132998072,7.938059385274926e-05,0.6337142857142857,0.0022038275855215117
Logistic Regression,18,0.7162854728156214,8.75035130154982e-05,0.7207142857142858,-0.004428812898664369
K-Nearest Neighbors,18,0.6440613602669327,8.081593900611487e-05,0.6497619047619048,-0.005700544494972037
Support Vector Machine,18,0.7256938719873315,0.00011248123491724029,0.7296190476190476,-0.003925175631716127
Decision Tree,18,0.6334080064755,9.16485557727958e-05,0.6337142857142857,-0.0003062792387856783
Logistic Regression,19,0.7164492882770603,8.850484509416025e-05,0.7207142857142858,-0.004264997437225415
K-Nearest Neighbors,19,0.6449798866535694,0.0001353538039260071,0.6497619047619048,-0.00478201810833534
Support Vector Machine,19,0.7260208777424136,9.624469228161061e-05,0.7296190476190476,-0.003598169876633972
Decision Tree,19,0.6354900548331933,8.088563570214755e-05,0.6337142857142857,0.001775769118907644
Logistic Regression,20,0.7166734693877551,9.606455643481902e-05,0.7207142857142858,-0.0040408163265306385
K-Nearest Neighbors,20,0.6465306122448979,0.00015318617242815515,0.6497619047619048,-0.003231292517006823
Support Vector Machine,20,0.7254285714285714,0.00010595751770095807,0.7296190476190476,-0.004190476190476189
Decision Tree,20,0.6349591836734694,0.00015285755935027061,0.6337142857142857,0.0012448979591836995
