Model,K,Training Accuracy,Variance,Test Accuracy,Bias
Support Vector Machine,12,0.8870545262365538,3.623800328136524e-05,0.8837013315354795,0.0033531947010743135
Decision Tree,12,0.9206816649751328,2.8190209511414822e-05,0.9254171582673184,-0.0047354932921855886
Logistic Regression,13,0.8797943615493348,3.93929249174363e-05,0.8752738917916737,0.004520469757661072
K-Nearest Neighbors,13,0.8814202772729884,2.4524549576792147e-05,0.880077532445643,0.0013427448273454212
Support Vector Machine,13,0.8868378194399139,3.95086088959255e-05,0.8837013315354795,0.0031364879044344374
Decision Tree,13,0.9188758279827949,4.6080144414528146e-05,0.9254171582673184,-0.006541330284523528
Logistic Regression,14,0.8798662774441102,3.3381682758315214e-05,0.8752738917916737,0.00459238565243647
K-Nearest Neighbors,14,0.8814198213735,3.2265626966531945e-05,0.880077532445643,0.0013422889278569272
Support Vector Machine,14,0.8873434793348994,2.9438490945466072e-05,0.8837013315354795,0.003642147799419959
Decision Tree,14,0.9195981104673995,3.7326265043245646e-05,0.9254171582673184,-0.0058190477999189305
Logistic Regression,15,0.8798664658369227,4.0830549548735626e-05,0.8752738917916737,0.004592574045249043
K-Nearest Neighbors,15,0.8812395462343934,4.30651454083071e-05,0.880077532445643,0.00116201378875036
Support Vector Machine,15,0.8870904839781516,4.0012871317003393e-05,0.8837013315354795,0.0033891524426721276
Decision Tree,15,0.9202126524696088,5.0257148056074606e-05,0.9254171582673184,-0.005204505797709591
Logistic Regression,16,0.8797215974928455,6.280696832790035e-05,0.8752738917916737,0.004447705701171811
K-Nearest Neighbors,16,0.8809139818608642,3.968563909744535e-05,0.880077532445643,0.0008364494152212076
Support Vector Machine,16,0.88701786614707,6.142373647041927e-05,0.8837013315354795,0.003316534611590538
Decision Tree,16,0.9208979072539846,5.0457326935106356e-05,0.9254171582673184,-0.004519251013333836
Logistic Regression,17,0.8799021936818492,5.134690068547743e-05,0.8752738917916737,0.00462830189017549
K-Nearest Neighbors,17,0.8813837325374536,5.346117486240663e-05,0.880077532445643,0.0013062000918105943
Support Vector Machine,17,0.8873434252049787,4.323585653456343e-05,0.8837013315354795,0.0036420936694991912
Decision Tree,17,0.9193815199665053,2.134613890466709e-05,0.9254171582673184,-0.0060356383008131065
Logistic Regression,18,0.879721565736922,5.60222965887543e-05,0.8752738917916737,0.004447673945248254
K-Nearest Neighbors,18,0.8810222140355196,3.706937869973461e-05,0.880077532445643,0.0009446815898765948
Support Vector Machine,18,0.8871983629599023,5.900890426505521e-05,0.8837013315354795,0.003497031424422814
Decision Tree,18,0.9191286391043297,2.4263584669168272e-05,0.9254171582673184,-0.0062885191629886705
Logistic Regression,19,0.8799744233497533,4.945241721905706e-05,0.8752738917916737,0.00470053155807959
K-Nearest Neighbors,19,0.8816725630815304,4.552901653255324e-05,0.880077532445643,0.0015950306358873956
Support Vector Machine,19,0.8872348006955285,3.845380972194587e-05,0.8837013315354795,0.003533469160049041
Decision Tree,19,0.9214767948734911,4.212011035022751e-05,0.9254171582673184,-0.003940363393827306
Logistic Regression,20,0.8799024957742952,7.811548032348553e-05,0.8752738917916737,0.004628603982621549
K-Nearest Neighbors,20,0.8813111944658918,6.883864420479932e-05,0.880077532445643,0.0012336620202487714
Support Vector Machine,20,0.8869458848938878,7.858040830117872e-05,0.8837013315354795,0.003244553358408342
Decision Tree,20,0.9203208405500721,6.334551008426687e-05,0.9254171582673184,-0.005096317717246279
